horizon_min,model,MAE,RMSE,MAPE,congestion_F1,precision,recall,n_congested,vs_persistence_pct,rush_MAE,rush_F1,slow_MAE
30,persistence,0.06428024252940868,0.12302108724369192,9.223418270732768,0.5331125827814569,0.5331125827814569,0.5331125827814569,302,0.0,0.0903,0.52,0.1284
30,historical average,0.06368156273645917,0.10525063485117735,9.320275684233215,0.49787234042553197,0.6964285714285714,0.38741721854304634,302,0.9,0.0883,0.475,0.122
30,seasonal naive,0.0819081263527259,0.14953784416151078,12.305201002732575,0.3429541595925297,0.3519163763066202,0.3344370860927152,302,-27.4,0.1184,0.279,0.1724
30,ridge,0.060972824985611025,0.09853694431275921,8.777929964148553,0.5484536082474227,0.726775956284153,0.44039735099337746,302,5.1,0.0836,0.509,0.1128
30,xgboost,0.05959198343856581,0.09826424714058082,8.560395920861723,0.5697896749521989,0.6742081447963801,0.49337748344370863,302,7.3,0.0836,0.558,0.1123
30,lstm,0.0534296995812449,0.10201097774689512,7.963265257830043,0.5823754789272031,0.6909090909090909,0.5033112582781457,302,16.9,0.0764,0.557,0.1102
60,persistence,0.07325698793106686,0.13596670009959516,10.470190569603556,0.4825291181364393,0.48013245033112584,0.48494983277591974,299,0.0,0.0992,0.483,0.1437
60,historical average,0.06355075665981094,0.10519242962491218,9.289329491076773,0.4946236559139785,0.6927710843373494,0.38461538461538464,299,13.2,0.0883,0.475,0.1219
60,seasonal naive,0.08174980799801528,0.1494489852106482,12.287610499220706,0.34020618556701027,0.3498233215547703,0.3311036789297659,299,-11.6,0.1184,0.279,0.173
60,ridge,0.06273009034250512,0.10157659590983575,9.038682542607992,0.5138004246284501,0.7034883720930233,0.40468227424749165,299,14.4,0.0857,0.468,0.1165
60,xgboost,0.061256680402452544,0.10109320001837044,8.846942704791887,0.5421686746987951,0.678391959798995,0.451505016722408,299,16.4,0.0857,0.491,0.1164
60,lstm,0.056228919892297315,0.10380157283915259,8.34368261718679,0.5502008032128514,0.6884422110552764,0.45819397993311034,299,23.2,0.0792,0.512,0.1192
90,persistence,0.08122154426262822,0.14664112700320367,11.567861015974309,0.43812709030100333,0.4337748344370861,0.44256756756756754,296,0.0,0.1068,0.445,0.1574
90,historical average,0.0633801483900048,0.1050895476161128,9.268443132135472,0.49130434782608695,0.6890243902439024,0.38175675675675674,296,22.0,0.0883,0.475,0.1219
90,seasonal naive,0.0815327422666676,0.14936267638477047,12.258620482375363,0.3368055555555555,0.3464285714285714,0.3277027027027027,296,-0.4,0.1184,0.279,0.1729
90,ridge,0.06356481723314107,0.10275002294315184,9.171254493914525,0.5107296137339056,0.7,0.40202702702702703,296,21.7,0.0867,0.479,0.1185
90,xgboost,0.06178276069115761,0.1018094008313957,8.939512796896992,0.525458248472505,0.6615384615384615,0.4358108108108108,296,23.9,0.0871,0.478,0.1176
90,lstm,0.05594990846722625,0.10407786306063717,8.381739961530405,0.5116279069767442,0.6836158192090396,0.40878378378378377,296,31.1,0.0799,0.486,0.1197
