segment_id,lat,lon,km,frc,freeflow_kmph,probe_hits,zone
afa44072,19.13257,72.89714,0.144,FRC4,13,1,Andheri-Jogeshwari-Powai
41f0baf1,19.13258,72.89682,0.15,FRC4,12,3,Andheri-Jogeshwari-Powai
8d615081,19.12690,72.92159,0.155,FRC2,31,1,Andheri-Jogeshwari-Powai
e7a6f08f,19.15128,72.85615,0.233,FRC3,21,1,Andheri-Jogeshwari-Powai
edae100a,19.14431,72.82932,0.248,FRC4,19,1,Andheri-Jogeshwari-Powai
e249ff72,19.12534,72.89192,0.256,FRC4,23,1,Andheri-Jogeshwari-Powai
c5a837c4,19.15309,72.85290,0.256,FRC4,20,1,Andheri-Jogeshwari-Powai
00a723c6,19.12736,72.91850,0.26,FRC2,24,5,Andheri-Jogeshwari-Powai
2c4e32cc,19.13941,72.85471,0.385,FRC4,14,1,Andheri-Jogeshwari-Powai
3cd45dfc,19.14507,72.82896,0.389,FRC4,28,2,Andheri-Jogeshwari-Powai
f1f88e5a,19.12587,72.93918,0.391,FRC3,32,2,Andheri-Jogeshwari-Powai
d4310f0b,19.12799,72.82172,0.433,FRC4,20,1,Andheri-Jogeshwari-Powai
563ac024,19.11736,72.85066,0.455,FRC4,21,1,Andheri-Jogeshwari-Powai
411227af,19.12497,72.89531,0.455,FRC2,26,3,Andheri-Jogeshwari-Powai
78557d2b,19.12051,72.90030,0.458,FRC2,30,1,Andheri-Jogeshwari-Powai
9e9796a3,19.12509,72.89549,0.458,FRC2,33,5,Andheri-Jogeshwari-Powai
5d41584f,19.13022,72.86396,0.461,FRC4,20,1,Andheri-Jogeshwari-Powai
f487304a,19.11171,72.85301,0.526,FRC4,22,2,Andheri-Jogeshwari-Powai
e97395bb,19.12567,72.84458,0.534,FRC4,17,1,Andheri-Jogeshwari-Powai
823bf880,19.11609,72.84322,0.551,FRC2,32,1,Andheri-Jogeshwari-Powai
d3580049,19.11470,72.85148,0.575,FRC4,46,1,Andheri-Jogeshwari-Powai
0348708f,19.11422,72.83921,0.576,FRC4,17,1,Andheri-Jogeshwari-Powai
038dbe4c,19.14599,72.83391,0.581,FRC2,22,1,Andheri-Jogeshwari-Powai
de806fbb,19.14403,72.82905,0.583,FRC4,21,1,Andheri-Jogeshwari-Powai
1ef76192,19.12133,72.91268,0.6,FRC4,17,1,Andheri-Jogeshwari-Powai
0d40257a,19.12117,72.91268,0.6,FRC4,20,3,Andheri-Jogeshwari-Powai
25342f62,19.12588,72.84438,0.611,FRC4,20,1,Andheri-Jogeshwari-Powai
