label,category,lat,lon,segment_id,seg_km,frc,freeflow,quality,geocoded_address
Lalbaugcha Raja,pandal,18.99198,72.83634,5bdf30,2.357,FRC4,28,good,"Lal Baug, Parel Mumbai, Maharashtra"
Mumbaicha Raja (Ganesh Galli),pandal,18.99415,72.83662,5bdf30,2.357,FRC4,28,good,"Ganesh Lane, Lal Baug, Parel, Mumbai 400012, Maharashtra"
Chintamani Chinchpokli,pandal,18.98595,72.83546,a7453e,2.354,FRC4,26,good,"Chinchpokli, Byculla Mumbai, Maharashtra"
Hindmata Junction,procession road,19.01307,72.84454,48e774d7,0.958,FRC2,23,EXCELLENT,"Dadar East, Mumbai, Maharashtra"
Bharatmata Junction,procession road,18.99198,72.83634,5bdf30,2.357,FRC4,28,good,"Lal Baug, Parel Mumbai, Maharashtra"
Parel TT,procession road,18.98012,72.83005,764b78,0.998,FRC4,21,EXCELLENT,"Jacob Circle, Lower Parel Mumbai, Maharashtra"
Kalachowki,procession road,18.98708,72.84169,dd1eaf,2.135,FRC4,18,good,"Kala Chowki, Byculla Mumbai, Maharashtra"
NM Joshi Marg,procession road,18.99104,72.83564,a7453e,2.354,FRC4,26,good,"N M Joshi Marg, Mumbai, Maharashtra"
GD Ambekar Marg,procession road,18.98812,72.84037,6ebe9d,0.722,FRC4,20,EXCELLENT,"G D Ambekar Marg, Parel, Mumbai 400012, Maharashtra"
SK Bole Road Dadar,procession road,19.01951,72.84029,3de3d9b6,0.898,FRC2,22,EXCELLENT,"Raobahadur S K Bole Road, Dadar West, Mumbai, Maharashtra"
GSB Seva Mandal,pandal,19.02468,72.85706,95215f40,0.344,FRC2,20,EXCELLENT,"Kings Circle, Matunga East Mumbai, Maharashtra"
Andhericha Raja,pandal,19.12819,72.83759,4f418450,1.81,FRC4,18,good,"Azad Nagar Phase 1, Andheri West Mumbai, Maharashtra"
Khetwadi Ganraj,pandal,18.96176,72.82202,6b7a2d,2.56,FRC4,18,good,"Khetwadi, Girgaon Mumbai, Maharashtra"
Girgaon Chowpatty,immersion,18.95386,72.81536,7f73c9,1.931,FRC1,44,good,"Girgaon Chowpatty, Girgaon Mumbai, Maharashtra"
Marine Drive (approach),immersion,18.93082,72.82623,1eb4c8,0.676,FRC4,19,EXCELLENT,"Marine Drive, Brabourn Stadium, Church Gate, Mumbai, Maharashtra"
Dadar Chowpatty,immersion,19.02508,72.84045,c8eea31f,0.786,FRC4,19,EXCELLENT,"Shivaji Park Dadar West, Mumbai, Maharashtra"
Juhu Beach,immersion,19.09032,72.84089,89fc9104,1.763,FRC4,23,good,"Juhu, Mumbai, Maharashtra"
Versova Beach,immersion,19.13985,72.80936,0ee7088a,0.378,FRC4,20,EXCELLENT,"Sea Beach Road, Versova, Mumbai, Maharashtra"
Powai Lake,immersion,19.13326,72.89694,afa44072,0.144,FRC4,13,EXCELLENT,"Vihar Lake Road, Powai, Mumbai, Maharashtra"
Bandra Bandstand,immersion,19.05880,72.83409,44956999,0.392,FRC4,17,EXCELLENT,"Bandra West, Mumbai, Maharashtra"
Talao Pali Thane,immersion,19.19472,72.97551,,,,,NO SEGMENT,"Talao Pali Road, Thane, Maharashtra"
CONTROL Mulund EEH,control,19.17734,72.94202,69bd8bd7,2.045,FRC4,18,good,"Mulund West, Mumbai, Maharashtra"
CONTROL Borivali WEH,control,19.22464,72.86431,ae7ad98c,0.713,FRC4,24,EXCELLENT,"Borivali East, Mumbai, Maharashtra"
CONTROL Kandivali,control,19.20599,72.86605,52dd3b41,1.124,FRC4,22,EXCELLENT,"Kandivali East, Mumbai, Maharashtra"
CONTROL Malad,control,19.18011,72.85901,5cbbb5d6,1.629,FRC4,15,good,"Malad East, Mumbai, Maharashtra"
CONTROL Ghatkopar,control,19.07444,72.91211,ebd27d30,1.384,FRC1,47,EXCELLENT,"Ghatkopar East, Mumbai, Maharashtra"
CONTROL Vikhroli,control,19.10246,72.92006,3a2cb5bd,2.781,FRC4,22,good,"Vikhroli West, Mumbai, Maharashtra"
